,Count,Date,NewTests,Cases,daily_cases,Negative,daily_negative,Pending,Hospitalized,daily_hospitalized,Deaths,Total,caseDif,posPer
1,1,Wed Mar 4 2020,0,2,2,27,27,5,4,4,0,29,NA,NA
2,2,Thu Mar 5 2020,1,2,0,28,1,6,5,1,0,30,0,0
3,3,Fri Mar 6 2020,6,3,1,33,5,15,6,1,0,36,1,16.66666667
4,4,Mon Mar 9 2020,0,5,2,44,11,7,8,2,0,49,2,0
5,5,Sun Mar 8 2020,0,5,0,44,0,7,6,-2,0,49,0,0
6,6,Sat Mar 7 2020,13,5,0,44,0,7,6,0,0,49,0,0
7,7,Tue Mar 10 2020,8,6,1,51,7,27,8,2,0,57,1,12.5
8,8,Wed Mar 11 2020,11,9,3,59,8,32,11,3,0,68,3,27.27272727
9,9,Thu Mar 12 2020,23,9,0,82,23,24,16,5,0,91,0,0
10,10,Fri Mar 13 2020,12,9,0,94,12,40,22,6,0,103,0,0
11,11,Sun Mar 15 2020,0,12,3,121,27,50,36,14,0,133,3,0
12,12,Sat Mar 14 2020,30,12,0,121,0,50,26,-10,0,133,0,0
13,13,Mon Mar 16 2020,10,18,6,125,4,63,42,16,0,143,6,60
14,14,Tue Mar 17 2020,19,20,2,142,17,66,55,13,0,162,2,10.52631579
15,15,Wed Mar 18 2020,14,28,8,148,6,102,67,12,0,176,8,57.14285714
16,16,Thu Mar 19 2020,43,44,16,175,27,130,85,18,0,219,16,37.20930233
17,17,Fri Mar 20 2020,57,65,21,211,36,101,108,23,0,276,21,36.84210526
18,18,Sat Mar 21 2020,68,104,39,240,29,122,128,20,1,344,39,57.35294118
19,19,Sun Mar 22 2020,90,152,48,282,42,87,145,17,2,434,48,53.33333333
20,20,Mon Mar 23 2020,140,265,113,309,27,6,189,44,2,574,113,80.71428571
21,21,Tue Mar 24 2020,96,357,92,313,4,22,219,30,5,670,92,95.83333333
22,22,Wed Mar 25 2020,103,450,93,323,10,53,264,45,6,773,93,90.29126214
23,23,Thu Mar 26 2020,151,577,127,347,24,33,303,39,8,924,127,84.10596026
24,24,Fri Mar 27 2020,7267,736,159,7455,7108,30,343,40,13,8191,159,2.187973029
25,25,Sat Mar 28 2020,137,873,137,7455,0,21,386,43,15,8328,137,100
26,26,Sun Mar 29 2020,5544,919,46,12953,5498,N/A,427,41,17,13872,46,0.82972583
27,27,Mon Mar 30 2020,2887,1157,238,15602,2649,N/A,478,51,20,16759,238,8.243851749
28,28,Tue Mar 31 2020,2612,1289,132,18082,2480,N/A,534,56,24,19371,132,5.053598775
29,29,Wed Apr 1 2020,1687,1413,124,19645,1563,N/A,582,48,29,21058,124,7.350326023
30,30,Thu Apr 2 2020,1651,1598,185,21111,1466,N/A,616,34,32,22709,185,11.2053301
31,31,Fri Apr 3 2020,1964,1769,171,22904,1793,N/A,667,51,41,24673,171,8.706720978
32,32,Sat Apr 4 2020,2487,2019,250,25141,2237,N/A,711,44,52,27160,250,10.05227181
33,33,Sun Apr 5 2020,250,2269,250,25141,0,N/A,760,49,64,27410,250,100
34,34,Mon Apr 6 2020,5124,2456,187,30078,4937,N/A,819,59,65,32534,187,3.649492584
