Count,Date,NewTests,Cases,Negative,Pending,Hospitalized,Deaths,Total,caseDif,posPer
1,Wed Mar 4 2020,0,2,27,5,4,0,29,NA,NA
2,Thu Mar 5 2020,1,2,28,6,5,0,30,0,0
3,Fri Mar 6 2020,6,3,33,15,6,0,36,1,16.66666667
4,Mon Mar 9 2020,0,5,44,7,8,0,49,2,0
5,Sun Mar 8 2020,0,5,44,7,6,0,49,0,0
6,Sat Mar 7 2020,13,5,44,7,6,0,49,0,0
7,Tue Mar 10 2020,8,6,51,27,8,0,57,1,12.5
8,Wed Mar 11 2020,11,9,59,32,11,0,68,3,27.27272727
9,Thu Mar 12 2020,23,9,82,24,16,0,91,0,0
10,Fri Mar 13 2020,12,9,94,40,22,0,103,0,0
11,Sun Mar 15 2020,0,12,121,50,36,0,133,3,0
12,Sat Mar 14 2020,30,12,121,50,26,0,133,0,0
13,Mon Mar 16 2020,10,18,125,63,42,0,143,6,60
14,Tue Mar 17 2020,19,20,142,66,55,0,162,2,10.52631579
15,Wed Mar 18 2020,14,28,148,102,67,0,176,8,57.14285714
16,Thu Mar 19 2020,43,44,175,130,85,0,219,16,37.20930233
17,Fri Mar 20 2020,57,65,211,101,108,0,276,21,36.84210526
18,Sat Mar 21 2020,68,104,240,122,128,1,344,39,57.35294118
19,Sun Mar 22 2020,90,152,282,87,145,2,434,48,53.33333333
20,Mon Mar 23 2020,140,265,309,6,189,2,574,113,80.71428571
21,Tue Mar 24 2020,96,357,313,22,219,5,670,92,95.83333333
22,Wed Mar 25 2020,103,450,323,53,264,6,773,93,90.29126214
23,Thu Mar 26 2020,151,577,347,33,303,8,924,127,84.10596026
24,Fri Mar 27 2020,7267,736,7455,30,343,13,8191,159,2.187973029
25,Sat Mar 28 2020,137,873,7455,21,386,15,8328,137,100
26,Sun Mar 29 2020,5544,919,12953,N/A,427,17,13872,46,0.82972583
27,Mon Mar 30 2020,2887,1157,15602,N/A,478,20,16759,238,8.243851749
28,Tue Mar 31 2020,2612,1289,18082,N/A,534,24,19371,132,5.053598775
29,Wed Apr 1 2020,1687,1413,19645,N/A,582,29,21058,124,7.350326023
30,Thu Apr 2 2020,1651,1598,21111,N/A,616,32,22709,185,11.2053301
31,Fri Apr 3 2020,1964,1769,22904,N/A,667,41,24673,171,8.706720978
32,Sat Apr 4 2020,2487,2019,25141,N/A,711,52,27160,250,10.05227181
33,Sun Apr 5 2020,250,2269,25141,N/A,760,64,27410,250,100
34,Mon Apr 6 2020,5124,2456,30078,N/A,819,65,32534,187,3.649492584
35,Tue Apr 7 2020,841,2575,30800,N/A,853,73,33375,119,14.14982164
36,Wed Apr 8 2020,1189,2726,31838,N/A,906,80,34564,151,12.69974769
37,Thu Apr 9 2020,2614,3018,34160,N/A,950,89,37178,292,11.17061974
38,Fri Apr 10 2020,556,3112,34622,N/A,995,97,37734,94,16.90647482
39,Sat Apr 11 2020,2796,3393,37137,N/A,1037,108,40530,281,10.05007153
40,Sun Apr 12 2020,1579,3539,38570,N/A,1074,115,42109,146,9.246358455
41,Mon Apr 13 2020,1238,3702,39645,N/A,1122,122,43347,163,13.16639742
42,Tue Apr 14 2020,749,3806,40290,N/A,1171,131,44096,104,13.88518024
43,Wed Apr 15 2020,1214,3962,41348,N/A,1213,142,45310,156,12.85008237
44,Thu Apr 16 2020,2088,4234,43164,N/A,1258,150,47398,272,13.02681992
45,Fri Apr 17 2020,1832,4507,44723,N/A,1289,169,49230,273,14.90174672
46,Sat Apr 18 2020,1815,4719,46326,N/A,1341,177,51045,212,11.68044077
47,Sun Apr 19 2020,1945,4929,48061,N/A,1387,184,52990,210,10.79691517
48,Mon Apr 20 2020,1510,5064,49436,N/A,1454,187,54500,135,8.940397351
49,Tue Apr 21 2020,652,5251,49901,N/A,1484,208,55152,187,28.6809816
50,Wed Apr 22 2020,1449,5459,51142,N/A,1528,229,56601,208,14.3547274
51,Thu Apr 23 2020,2096,5769,52928,N/A,1572,249,58697,310,14.79007634
52,Fri Apr 24 2020,2017,6045,54669,N/A,1626,266,60714,276,13.68368865
53,Sat Apr 25 2020,1794,6280,56228,N/A,1672,266,62508,235,13.09921962
54,Sun Apr 26 2020,2303,6526,58285,N/A,1716,275,64811,246,10.6817195
55,Mon Apr 27 2020,1732,6716,59827,N/A,1772,275,66543,190,10.96997691
56,Tue Apr 28 2020,895,6948,60490,N/A,1824,293,67438,232,25.92178771
57,Wed Apr 29 2020,1375,7202,61611,N/A,1884,304,68813,254,18.47272727
58,Thu Apr 30 2020,2973,7648,64138,N/A,1937,320,71786,446,15.0016818
