date,pending,hospitalizedCurrently,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
7/21/20,3197,59316,1029,2551,692109,62749,754858
7/20/20,3003,58330,362,1647,675703,56971,732674
7/19/20,3052,57787,526,944,706462,64884,771346
7/18/20,3032,57559,872,2003,696591,65180,761771
7/17/20,3002,57705,951,2678,774555,77233,851788
7/16/20,2929,57369,974,2215,753635,70953,824588
7/15/20,2947,56143,858,2416,697418,65382,762800
7/14/20,960,55533,736,2262,697403,62879,760282
7/13/20,2610,53988,327,1214,663634,58465,722099
7/12/20,2639,52632,476,939,666340,60978,727318
7/11/20,2618,51834,757,5141,572430,63007,635437
7/10/20,2493,51577,854,2318,756730,66645,823375
7/9/20,2530,43924,867,1719,639952,58836,698788
7/8/20,2360,43072,897,2035,566115,62147,628262
7/7/20,2136,41755,922,1960,581455,51766,633221
7/6/20,1907,39759,242,794,478351,41600,519951
7/5/20,1885,38730,209,590,611119,45789,656908
7/4/20,2083,38128,306,871,587497,54734,642231
7/3/20,2237,37772,597,1435,667217,54223,721440
7/2/20,2208,37500,697,2003,609550,53826,663376
7/1/20,2604,36393,701,1438,582608,50674,633282
6/30/20,2432,35249,596,1582,586483,47462,633945
6/29/20,2194,33575,330,670,592540,39175,631715
6/28/20,2198,32481,271,580,544786,41857,586643
6/27/20,2186,32483,509,1057,559083,43783,602866
6/26/20,2201,31728,636,1526,557541,44421,601962
6/25/20,2133,31843,2501,1257,596819,39072,635891
6/24/20,2049,31086,724,1310,472451,38684,511135
6/23/20,1891,30234,708,1257,466574,33021,499595
6/22/20,2028,28794,283,800,435361,27017,462378
6/21/20,2084,28171,292,514,485544,27284,512828
6/20/20,2108,27957,628,745,535199,31994,567193
6/19/20,2032,28639,655,1613,538444,31046,569490
6/18/20,1903,28409,704,1040,486379,27527,513906
6/17/20,1745,28562,767,1130,463284,23873,487157
6/16/20,1604,28265,729,1301,439702,23435,463137
6/15/20,1619,27772,380,543,416650,18510,435160
6/14/20,1672,27857,355,640,461515,21373,482888
6/13/20,1698,28509,691,1105,480052,25341,505393
6/12/20,1783,29152,772,1245,593893,23477,617370
6/11/20,1816,29698,898,1367,434391,22032,456423
6/10/20,1737,30847,885,1484,407476,20803,428279
6/9/20,1661,31155,898,1527,402802,17175,419977
6/8/20,1606,30609,660,714,379179,17012,396191
6/7/20,1733,30890,446,685,428327,18823,447150
6/6/20,1796,31465,727,1017,489265,23106,512371
6/5/20,1749,31869,823,1440,482923,23352,506275
6/4/20,3474,32234,888,-2841,440145,20839,460984
6/3/20,3556,32659,991,2255,446402,20312,466714
6/2/20,4054,33327,959,1585,398664,19982,418646
6/1/20,3455,33689,665,2796,391912,20415,412327
5/31/20,3270,34332,649,976,374532,21639,396171
5/30/20,1668,35196,929,1424,401992,23762,425754
5/29/20,2978,36409,1179,1715,463707,23522,487229
5/28/20,1906,37542,1226,1630,411869,22601,434470
5/27/20,3132,37766,1318,1713,289048,19385,308433
5/26/20,1549,37210,640,17320,289303,16629,305932
5/25/20,3368,37200,555,1002,403790,18798,422588
5/24/20,3860,37255,678,921,361400,20105,381505
5/23/20,4084,38168,1060,1378,368410,21590,390000
5/22/20,3709,39391,1335,4046,384533,24555,409088
5/21/20,3641,40657,1388,4630,435306,26513,461819
5/20/20,2973,41202,1392,1996,385840,21319,407159
5/19/20,2944,41383,1325,1597,380486,20853,401339
5/18/20,3596,41212,844,1157,333721,20992,354713
5/17/20,3449,41325,846,1199,350983,20171,371154
5/16/20,3788,42941,984,1856,337419,24701,362120
5/15/20,2457,42943,1502,1353,333613,24710,358323
5/14/20,2673,44221,1871,3206,337369,26705,364074
5/13/20,1983,45311,1696,1809,297848,21193,319041
5/12/20,1803,45942,1472,1579,285892,22663,308555
5/11/20,1989,44961,887,1238,363887,18236,382123
5/10/20,3095,45595,1024,1055,244826,21504,266330
5/9/20,3054,47152,1432,1708,266799,24810,291609
5/8/20,3307,48284,1779,6892,270245,27605,297850
5/7/20,3171,49872,2740,3742,274154,27490,301644
5/6/20,2742,50949,1932,2119,219777,25056,244833
5/5/20,2633,51590,2445,1983,249022,22449,271471
5/4/20,2791,50740,1012,1651,208933,22523,231456
5/3/20,2812,51020,1206,1963,210747,25767,236514
5/2/20,1578,52418,1541,2031,217899,29185,247084
5/1/20,1639,53127,1753,9789,262170,33056,295226
4/30/20,2775,54635,2117,2290,203028,29619,232647
4/29/20,4832,55708,2692,3415,212176,26590,238766
4/28/20,4206,55725,2042,2079,181395,25219,206614
4/27/20,4077,55765,1237,3076,172795,22605,195400
4/26/20,4445,55802,1188,2192,178908,27380,206288
4/25/20,5315,57026,1714,2456,240249,35901,276150
4/24/20,4396,56871,1865,2338,201683,34174,235857
4/23/20,4258,58583,1764,2802,161026,31784,192810
4/22/20,4191,58765,2065,3087,294567,28916,323483
4/21/20,3956,59379,2429,2682,126501,26333,152834
4/20/20,4037,56386,1765,2211,119816,25872,145688
4/19/20,11324,56166,1733,2239,126462,27468,153930
4/18/20,9906,57402,1837,3563,117871,27963,145834
4/17/20,10889,58531,2077,3405,126720,31964,158684
4/16/20,16927,59139,2141,3071,132875,30923,163798
4/15/20,16901,59538,2486,4434,106684,30298,136982
4/14/20,16615,59221,2287,3282,126141,25631,151772
4/13/20,17159,55815,1572,4285,109050,25133,134183
4/12/20,16419,55136,1630,3288,111073,27844,138917
4/11/20,16593,55229,1982,2825,106426,30561,136987
4/10/20,17435,52373,2055,4934,124042,34351,158393
4/9/20,17622,50535,1972,3923,136639,34419,171058
4/8/20,17219,44833,1944,4311,116954,30534,147488
4/7/20,16548,43163,1956,2981,123505,30737,154242
4/6/20,17283,35559,1254,2946,123071,28937,152008
4/5/20,17303,31593,1285,3903,94105,25550,119655
4/4/20,15569,29749,1440,5086,195941,33252,229193
4/3/20,61976,25234,1259,4554,100945,31945,132890
4/2/20,62097,22538,1149,4175,90859,27992,118851
4/1/20,59665,20517,988,4228,82748,25773,108521
3/31/20,59518,17910,861,3906,87636,24694,112330
3/30/20,65369,15616,577,2536,96564,21897,118461
3/29/20,65545,13868,516,2775,67957,19655,87612
3/28/20,65709,12216,519,2425,87146,19724,106870
3/27/20,60091,10820,401,2563,83612,19044,102656
3/26/20,60251,7651,311,2499,84159,17656,101815
3/25/20,51235,4971,232,1904,71521,12873,84394
3/24/20,14433,3828,231,1180,58505,10632,69137
3/23/20,14571,2770,97,914,46706,11442,58148
3/22/20,2842,2155,143,1003,36214,9259,45473
3/21/20,3468,1436,61,1912,38448,6885,45333
3/20/20,3330,1042,68,23,30407,6255,36662
3/19/20,3016,617,46,18,23410,4671,28081
3/18/20,2526,416,31,12,21893,3171,25064
3/17/20,1687,325,22,13,13707,3613,17320
3/16/20,1691,,21,6,16355,1569,17924
3/15/20,2242,,15,10,6353,1251,7604
3/14/20,1236,,9,4,3695,915,4610
3/13/20,1130,,4,6,8146,1025,9171
3/12/20,673,,8,5,4628,682,5310
3/11/20,563,,6,3,3291,527,3818
3/10/20,469,,2,0,2049,441,2490
3/9/20,313,,4,2,1406,367,1773
3/8/20,347,,4,0,607,267,874
3/7/20,602,,1,0,578,220,798
3/6/20,458,,6,1,645,141,786
3/5/20,197,,4,1,464,153,617
3/4/20,103,,2,4,911,187,1098
