New Case Trends - United States
Date generated: Fri Jul 17 2020 15:56:57 GMT-0600 (Mountain Daylight Time)

Date,New Cases,7-Day Moving Avg
Jul 16 2020,72045, 64135
Jul 15 2020,67404, 62308
Jul 14 2020,60971, 61932
Jul 13 2020,58858, 60408
Jul 12 2020,60469, 58618
Jul 11 2020,62918, 56317
Jul 10 2020,66281, 54790
Jul 9 2020,59260, 53567
Jul 8 2020,64771, 52634
Jul 7 2020,50304, 51146
Jul 6 2020,46329, 50195
Jul 5 2020,44361, 48671
Jul 4 2020,52228, 48247
Jul 3 2020,57718, 47172
Jul 2 2020,52730, 45298
Jul 1 2020,54357, 43564
Jun 30 2020,43644, 41179
Jun 29 2020,35664, 39846
Jun 28 2020,41390, 38560
Jun 27 2020,44703, 36592
Jun 26 2020,44602, 34836
Jun 25 2020,40588, 33067
Jun 24 2020,37667, 31244
Jun 23 2020,34313, 29125
Jun 22 2020,26657, 28279
Jun 21 2020,27616, 27125
Jun 20 2020,32411, 26316
Jun 19 2020,32218, 25324
Jun 18 2020,27828, 23910
Jun 17 2020,22834, 23041
Jun 16 2020,28392, 22705
Jun 15 2020,18577, 21132
Jun 14 2020,21957, 20992
Jun 13 2020,25468, 20415
Jun 12 2020,22317, 20950
Jun 11 2020,21744, 21910
Jun 10 2020,20486, 21740
Jun 9 2020,17376, 20910
Jun 8 2020,17598, 21993
Jun 7 2020,17919, 21591
Jun 6 2020,29214, 22771
Jun 5 2020,29034, 21962
Jun 4 2020,20555, 20404
Jun 3 2020,14676, 20511
Jun 2 2020,24955, 21226
Jun 1 2020,14790, 20008
May 31 2020,26177, 21460
May 30 2020,23553, 19912
May 29 2020,18123, 20295
May 28 2020,21304, 21172
May 27 2020,19680, 21061
May 26 2020,16429, 21515
May 25 2020,24958, 22512
May 24 2020,15342, 22443
May 23 2020,26229, 22149
May 22 2020,24268, 22969
May 21 2020,20522, 22785
May 20 2020,22860, 23737
May 19 2020,23405, 23453
May 18 2020,24481, 23176
May 17 2020,13284, 22265
May 16 2020,31967, 23767
May 15 2020,22977, 23008
May 14 2020,27191, 23440
May 13 2020,20869, 23964
May 12 2020,21467, 24321
May 11 2020,18106, 24440
May 10 2020,23792, 24588
May 9 2020,26660, 25441
May 8 2020,25996, 25888
May 7 2020,30861, 26513
May 6 2020,23366, 26645
May 5 2020,22303, 26952
May 4 2020,19138, 27180
May 3 2020,29763, 27785
May 2 2020,29794, 27712
May 1 2020,30369, 28193
Apr 30 2020,31787, 28123
Apr 29 2020,25512, 28888
Apr 28 2020,23901, 28937
Apr 27 2020,23371, 29307
Apr 26 2020,29256, 30178
Apr 25 2020,33161, 29712
Apr 24 2020,29873, 29249
Apr 23 2020,37144, 29124
Apr 22 2020,25858, 27984
Apr 21 2020,26490, 28170
Apr 20 2020,29468, 28155
Apr 19 2020,25995, 27396
Apr 18 2020,29916, 27846
Apr 17 2020,29002, 28328
Apr 16 2020,29164, 28935
Apr 15 2020,27158, 29298
Apr 14 2020,26385, 29923
Apr 13 2020,24156, 29239
Apr 12 2020,29145, 31994
Apr 11 2020,33288, 31554
Apr 10 2020,33251, 31181
Apr 9 2020,31705, 31412
Apr 8 2020,31534, 30616
Apr 7 2020,21597, 29975
Apr 6 2020,43438, 30112
Apr 5 2020,26065, 27141
Apr 4 2020,30683, 26024
Apr 3 2020,34864, 24403
Apr 2 2020,26135, 21989
Apr 1 2020,27043, 20672
Mar 31 2020,22562, 18806
Mar 30 2020,22635, 17028
Mar 29 2020,18251, 15357
Mar 28 2020,19332, 14010
Mar 27 2020,17965, 12082
Mar 26 2020,16916, 10019
Mar 25 2020,13987, 8285
Mar 24 2020,10115, 6775
Mar 23 2020,10934, 5730
Mar 22 2020,8821, 4276
Mar 21 2020,5836, 3192
Mar 20 2020,3528, 2407
Mar 19 2020,4777, 1941
Mar 18 2020,3419, 1318
Mar 17 2020,2797, 869
Mar 16 2020,755, 511
Mar 15 2020,1237, 435
Mar 14 2020,338, 279
Mar 13 2020,267, 240
Mar 12 2020,414, 209
Mar 11 2020,278, 159
Mar 10 2020,290, 122
Mar 9 2020,225, 84
Mar 8 2020,147, 56
Mar 7 2020,64, 35
Mar 6 2020,47, 27
Mar 5 2020,66, 21
Mar 4 2020,20, 11
Mar 3 2020,25, 9
Mar 2 2020,23, 5
Mar 1 2020,6, 2
Feb 29 2020,8, 1
Feb 28 2020,0, 0
Feb 27 2020,1, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,2, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,1, 0
Feb 12 2020,0, 0
Feb 11 2020,1, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,3, 0
Feb 2 2020,0, 0
Feb 1 2020,1, 0
Jan 31 2020,2, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,3, 0
Jan 25 2020,0, 0
Jan 24 2020,1, 0
Jan 23 2020,0, 0
Jan 22 2020,1, 0
