,Date,US_Total_Cases,US_Net_Cases,US_Cases_Percent,US_Deaths_Total,US_Net_Deaths,AZ_Cases,AZ_Net_Cases,AZ_Cases_Percent,AZ_Deaths_Total,AZ_Deaths_Net
Sunday,3/1/20, 30 ,#REF!,#REF!,1,#REF!,1,#REF!,#REF!,0,#REF!
Monday,3/2/20, 53 ,23,43%,6,5,1,0,0.00%,0,0
Tuesday,3/3/20, 73 ,20,27%,7,1,1,0,0.00%,0,0
Wednesday,3/4/20, 104 ,31,30%,11,4,1,0,0.00%,0,0
Thursday,3/5/20, 174 ,70,40%,12,1,1,0,0.00%,0,0
Friday,3/6/20, 222 ,48,22%,14,2,2,1,50.00%,0,0
Saturday,3/7/20, 337 ,115,34%,17,3,4,2,50.00%,0,0
Sunday,3/8/20, 451 ,114,25%,21,4,4,0,0.00%,0,0
Monday,3/9/20, 519 ,68,13%,22,1,4,0,0.00%,0,0
Tuesday,3/10/20, 711 ,192,27%,28,6,6,2,33.33%,0,0
Wednesday,3/11/20," 1,109 ",398,36%,33,5,9,3,33.33%,0,0
Thursday,3/12/20," 1,561 ",452,29%,43,10,9,0,0.00%,0,0
Friday,3/13/20," 2,157 ",596,28%,52,9,9,0,0.00%,0,0
Saturday,3/14/20," 2,870 ",713,25%,58,6,12,3,25.00%,0,0
Sunday,3/15/20," 2,968 ",98,3%,70,12,12,0,0.00%,0,0
Monday,3/16/20," 4,360 ",1392,32%,97,27,18,6,33.33%,0,0
Tuesday,3/17/20," 6,141 ",1781,29%,131,34,20,2,10.00%,0,0
Wednesday,3/18/20," 8,917 ",2776,31%,188,57,27,7,25.93%,0,0
Thursday,3/19/20," 14,157 ",5240,37%,265,77,45,18,40.00%,0,0
Friday,3/20/20," 19,479 ",5322,27%,362,97,68,23,33.82%,0,0
Saturday,3/21/20," 25,825 ",6346,25%,456,94,104,36,34.62%,1,1
Sunday,3/22/20," 33,761 ",7936,24%,601,145,152,48,31.58%,2,1
Monday,3/23/20," 43,850 ",10089,23%,784,183,235,83,35.32%,2,0
Tuesday,3/24/20," 54,112 ",10262,19%,1021,237,326,91,27.91%,5,3
Wednesday,3/25/20," 66,055 ",11943,18%,1333,312,401,75,18.70%,6,1
Thursday,3/26/20," 84,091 ",18036,21%,1746,413,508,107,21.06%,8,2
Friday,3/27/20," 102,276 ",18185,18%,2300,554,665,157,23.61%,13,5
Saturday,3/28/20," 122,069 ",19793,16%,2934,634,773,108,13.97%,15,2
Sunday,3/29/20," 141,205 ",19136,14%,3561,627,919,146,15.89%,17,2
Monday,3/30/20," 162,707 ",21502,13%,4381,820,1157,238,20.57%,20,3
Tuesday,3/31/20," 188,724 ",26017,14%,5605,1224,1289,132,10.24%,25,5
Wednesday,4/1/20," 214,205 ",25481,12%,6846,1241,1413,124,8.78%,32,7
Thursday,4/2/20," 244,610 ",30405,12%,8432,1586,1596,183,11.47%,35,3
Friday,4/3/20," 276,547 ",31937,12%,9747,1315,1769,173,9.78%,44,9
Saturday,4/4/20," 309,699 ",33152,11%,11031,1284,2019,250,12.38%,52,8
Sunday,4/5/20," 337,573 ",27874,8%,12470,1439,2269,250,11.02%,64,12
Monday,4/6/20," 367,215 ",29642,8%,14138,1668,2460,191,7.76%,65,1
Tuesday,4/7/20," 397,992 ",30777,8%,16447,2309,2575,115,4.47%,73,8
Wednesday,4/8/20," 429,686 ",31694,7%,18563,2116,2726,151,5.54%,89,16
Thursday,4/9/20," 464,442 ",34756,7%,20638,2075,3018,292,9.68%,98,9
Friday,4/10/20," 497,943 ",33501,7%,22731,2093,3112,94,3.02%,106,8
Saturday,4/11/20," 527,969 ",30026,6%,24777,2046,3393,281,8.28%,117,11
Sunday,4/12/20," 556,522 ",28553,5%,26548,1771,3542,149,4.21%,125,8
Monday,4/13/20," 581,813 ",25291,4%,28376,1828,3705,163,4.40%,132,7
Tuesday,4/14/20," 608,878 ",27065,4%,30780,2404,3809,104,2.73%,143,11
Wednesday,4/15/20," 637,974 ",29096,5%,33329,2549,3964,155,3.91%,155,12
Thursday,4/16/20," 669,272 ",31298,5%,35442,2113,4237,273,6.44%,164,9
Friday,4/17/20," 701,996 ",32724,5%,38056,2614,4511,274,6.07%,183,19
Saturday,4/18/20," 730,337 ",28341,4%,40442,2386,4724,213,4.51%,180,-3
Sunday,4/19/20," 756,375 ",26038,3%,41671,1229,4933,209,4.24%,184,4
Monday,4/20/20," 783,716 ",27341,3%,43466,1795,5068,135,2.66%,191,7
Tuesday,4/21/20," 809,318 ",25602,3%,45923,2457,5256,188,3.58%,208,17
Wednesday,4/22/20," 837,422 ",28104,3%,48312,2389,5473,217,3.96%,231,23
Thursday,4/23/20," 871,617 ",34195,4%,50749,2437,5772,299,5.18%,249,18
Friday,4/24/20," 907,908 ",36291,4%,52867,2118,6045,273,4.52%,266,17
Saturday,4/25/20," 940,829 ",32921,3%,54517,1650,6286,241,3.83%,273,7
Sunday,4/26/20," 968,518 ",27689,3%,55810,1293,6534,248,3.80%,275,2
Monday,4/27/20," 990,983 ",22465,2%,57235,1425,6725,191,2.84%,275,0
Tuesday,4/28/20," 1,015,518 ",24535,2%,59454,2219,6955,230,3.31%,275,0
Wednesday,4/29/20," 1,043,038 ",27520,3%,61960,2506,7209,254,3.52%,308,33
Thursday,4/30/20," 1,072,667 ",29629,3%,64256,2296,7655,446,5.83%,320,12
Friday,5/1/20," 1,106,829 ",34162,3%,66125,1869,7969,314,3.94%,330,10
Saturday,5/2/20," 1,136,024 ",29195,3%,67681,1556,8364,395,4.72%,330,0
Sunday,5/3/20," 1,161,611 ",25587,2%,68777,1096,8640,276,3.19%,362,32
Monday,5/4/20," 1,184,086 ",22475,2%,70086,1309,8924,284,3.18%,362,0
Tuesday,5/5/20," 1,208,271 ",24185,2%,72393,2307,9305,381,4.09%,395,33
Wednesday,5/6/20," 1,233,527 ",25256,2%,74851,2458,9707,402,4.14%,426,31
